headline,sentiment
"Teradyne, Inc.: BRIEF-Teradyne Robotics to debut AI accelerator-powered solutions at NVIDIA GTC",Positive
Maplebear Inc.: INSTACART Q2 NET INCOME USD 116 MILLION,Positive
HP Inc.: HP INC <HPQ.N>: BOFA GLOBAL RESEARCH CUTS PRICE OBJECTIVE TO $26 FROM $29,Negative
Oracle Corporation: ORACLE SHARES UP 2.3% PREMARKET AFTER CITIGROUP RAISES PT TO STREET HIGH OF $415,Positive
Comcast Corporation: European media group RTL to buy Sky Deutschland,Neutral
"Lam Research Corporation: EXCLUSIVE-US ordered TSMC to halt shipments to China of chips used in AI applications, source says",Negative
"F5, Inc.: F5 INC - TO BUY CALYPSOAI FOR $180 MLN",Positive
"Procore Technologies, Inc.: PROCORE TECHNOLOGIES INC <PCOR.N>: TD COWEN CUTS TARGET PRICE TO $75 FROM $85",Negative
"Palantir Technologies Inc.: EXCLUSIVE-GOLDEN DOME INCLUDES 4 LAYERS - 1 SPACE-BASED LAYER AND 3 LAND-BASED LAYERS, DOCUMENTS SHOW",Neutral
Grab Holdings Limited: BRIEF-Goto Gojek Tokopedia Says Has Not Made Any Decision Regarding Any Proposals,Neutral
Snap Inc.: UPDATE 3-TikTok advertisers stay put after US appeals court upholds law forcing sale,Neutral
ASML Holding N.V. - New York Re: ASML HOLDING NV - EXPECTS 2025  GROSS MARGIN BETWEEN 51% AND 53%,Positive
"Toast, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Vertiv, IDEXX, Freshpet",Neutral
"Toast, Inc.: TOAST, INC. <TOST.N>: MORGAN STANLEY  RAISES TARGET PRICE TO $50.00 FROM $46.00",Positive
Tower Semiconductor Ltd.: TOWER SEMICONDUCTOR LTD <TSEM.O>: WEDBUSH RAISES TARGET PRICE TO $125 FROM $85,Positive
Allegion plc: NYSE ORDER IMBALANCE <ALLE.N> 52394.0 SHARES ON BUY SIDE,Positive
"Celestica, Inc.: Celestica Inc reports results for the quarter ended in September 30 - Earnings Summary",Neutral
"Rubrik, Inc.: RUBRIK SHARES UP 10% AFTER THE BELL FOLLOWING RESULTS",Positive
"Okta, Inc.: OKTA INC <OKTA.O>: KEYBANC RAISES TO OVERWEIGHT FROM SECTOR WEIGHT",Positive
Comcast Corporation: Newscasts - Universal takes on Disney with its new Epic Universe park,Neutral
"Zoom Communications, Inc.: Zoom Communications lifts annual outlook on accelerated demand for AI tools in hybrid work",Positive
"Mastercard Incorporated: BUZZ-U.S. STOCKS ON THE MOVE-Marsh McLennan, Ameriprise, Lam Research",Neutral
"Dayforce, Inc.: DAYFORCE - TRANSFERS PENSION OBLIGATIONS TO NATIONWIDE LIFE & ANNUITY INSURANCE CO AND NATIONWIDE LIFE INSURANCE CO - SEC FILING",Neutral
Maplebear Inc.: INSTACART OUTLOOK Q3 ADJ EBITDA $260 MLN - $270 MLN VS IBES ESTIMATE $252.9 MLN,Positive
"Amkor Technology, Inc.: AMKOR TECHNOLOGY OUTLOOK Q3 NET SALES $1.875 BLN TO $1.975 BLN",Positive
"Robinhood Markets, Inc.: ROBINHOOD Q3 ADJUSTED EBITDA USD 742 MILLION VS. IBES ESTIMATE USD 634 MILLION",Positive
eBay Inc.: EBAY <EBAY.O>: MIZUHO RAISES TARGET PRICE TO $60 FROM $55,Positive
"Netflix, Inc.: MEDIA-Netflix taps veteran D.C. trade attorney Clete Willems as chief global affairs officer - Axios",Neutral
Microchip Technology Incorporat: BRIEF-Microchip Technology Appoints Victor Peng To Board Of Directors,Neutral
Microchip Technology Incorporat: MICROCHIP TECHNOLOGY <MCHP.O>: TD COWEN CUTS TARGET PRICE TO $35 FROM $60,Negative
"DuPont de Nemours, Inc.: DUPONT CEO SAYS NOT LOOKING AT M&A BEFORE SPINOFF IS COMPLETE: CONF CALL",Neutral
Logitech International S.A. - R: LOGITECH INTERNATIONAL SA <LOGN.S> SHARES DOWN 9.91%,Negative
"Meta Platforms, Inc.: US Supreme Court rebuffs challenge to federal protections for tech platforms",Positive
Fair Isaac Corporation: NYSE ORDER IMBALANCE <FICO.N> 25380.0 SHARES ON SELL SIDE,Negative
"DoorDash, Inc.: DOORDASH <DASH.O>: MOFFETTNATHANSON CUTS TARGET PRICE TO $288 FROM $305",Negative
"Astera Labs, Inc.: ASTERA LABS INC <ALAB.O>: CITIGROUP CUTS TARGET PRICE TO $100 FROM $120",Negative
"CoreWeave, Inc.: COREWEAVE SHARES DOWN 11.8% AFTER BIGGER QUARTERLY LOSS",Negative
"Cadence Design Systems, Inc.: CADENCE UNVEILS MILLENNIUM M2000 SUPERCOMPUTER WITH NVIDIA BLACKWELL SYSTEMS TO TRANSFORM AI-DRIVEN SILICON, SYSTEMS AND DRUG DESIGN",Positive
"Uber Technologies, Inc.: BUZZ-Uber slips, forecasts Q4 adjusted core profit marginally below estimates",Negative
"Micron Technology, Inc.: MORNING BID AMERICAS-World markets firm as America decides",Neutral
STMicroelectronics N.V.: STMICROELECTRONICS ANNOUNCES STATUS OF COMMON SHARE REPURCHASE PROGRAM,Positive
"Uber Technologies, Inc.: NYSE ORDER IMBALANCE <UBER.N> 563571.0 SHARES ON BUY SIDE",Positive
"Baidu, Inc.: ALIBABA UP 2.9%, PDD HOLDINGS UP 3.9%, NETEASE UP 3.4%, BAIDU UP 2.5%, JD.COM UP 7.1%",Positive
"Alphabet Inc.: WAYMO: IN COMING MONTHS, DOORDASH CUSTOMERS MAY BE MATCHED WITH FULLY AUTONOMOUS WAYMO VEHICLE FOR DELIVERY IN PHOENIX SERVICE AREA",Positive
"Tyler Technologies, Inc.: NYSE ORDER IMBALANCE <TYL.N> 18610.0 SHARES ON SELL SIDE",Negative
Ericsson: BREAKINGVIEWS-Nokia’s AI side hustle can offset its telco torpor,Positive
Broadcom Inc.: SHARES OF BROADCOM DOWN 2% IN EXTENDED TRADE AFTER QUARTERLY REPORT,Negative
"Akamai Technologies, Inc.: AKAMAI Q3 REVENUE USD 1,004.679 MILLION VS. IBES ESTIMATE USD 999 MILLION",Positive
"International Business Machines: INTERNATIONAL BUSINESS MACHINES CORP - Z17 AVAILABLE JUNE 18, 2025",Neutral
QUALCOMM Incorporated: BRIEF-Parkervision Inc Files Motion To Expedite Appeal In Qualcomm Patent Case,Neutral
"Advanced Micro Devices, Inc.: BUZZ-AMD jumps after announcing multi-year deal with OpenAI",Positive
Microchip Technology Incorporat: MICROCHIP TECHNOLOGY SHARES FALL 2.3% PREMARKET AFTER CO FORECASTS Q3 RESULTS BELOW ESTIMATES,Negative
"Figma, Inc.: BRIEF-Figma Expected To Price IPO Above Range At $33 Per Share - Bloomberg News",Positive
"Cisco Systems, Inc.: BREAKINGVIEWS-AI understudies bask in a flickering spotlight",Neutral
KLA Corporation: KLA CORPORATION  <KLAC.O>: DEUTSCHE BANK RAISES TARGET PRICE TO $850 FROM $725,Positive
Verizon Communications Inc.: US STOCKS-Wall St slips with mixed data and earnings ahead of Fed week,Neutral
Spotify Technology S.A.: SHARES OF SPOTIFY RISE 9% IN EXTENDED TRADE,Positive
GlobalFoundries Inc.: GLOBALFOUNDRIES Q3 GROSS MARGIN 24.8%,Neutral
"Charter Communications, Inc.: BUZZ-Charter Communications gains after Q1 revenue beat",Positive
Taiwan Semiconductor Manufactur: UPDATE 5-TSMC upbeat on outlook as robust AI demand offsets tariff uncertainty,Positive
Trimble Inc.: TRIMBLE OUTLOOK Q4 EPS USD 0.52-0.61,Neutral
"ASE Technology Holding Co., Ltd: ASE TECHNOLOGY HOLDING <3711.TW>: UNIT ACQUIRES PLANT ENGINEERING PROJECT FOR T$527.5 MLN",Positive
"Airbnb, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Akamai Technologies, Enbridge, KKR",Neutral
Wipro Limited: WIPRO <WIPR.NS> SHARES UP 3.1% IN PRE-OPEN TRADE ON QTRLY REV BEAT,Positive
"Verisk Analytics, Inc.: BRIEF-Verisk Names Saurabh Khemka President Of Underwriting Solutions",Neutral
AT&T Inc.: AT&T INC <T.N>: JP MORGAN RAISES TARGET PRICE TO $33.00 FROM $31.00,Positive
"Rambus, Inc.: RAMBUS Q4 OPERATING EXPENSES USD 71.7 MILLION",Neutral
"Meta Platforms, Inc.: EXCLUSIVE-Google likely to be hit with first EU antitrust fine under new EU law, sources say",Negative
Zebra Technologies Corporation: ZEBRA TECHNOLOGIES SHARES FALL 4.7% AFTER CO FORECASTS BELOW-THAN-EXPECTED FY REV AND ADJ. PROFIT,Negative
"Coinbase Global, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Vaxart, DoubleVerify, Cracker Barrel",Neutral
"Lumentum Holdings Inc.: U.S. RESEARCH ROUNDUP-Crowdstrike, CSW Industrials, Targa Resources",Neutral
"Skyworks Solutions, Inc.: QORVO SHARES EXTEND PREMARKET GAINS, LAST UP 11.8%",Positive
