time,headline,cRIC,ticker,CompanyName,input
2025-03-18 22:01:03.000,BRIEF-Teradyne Robotics to debut AI accelerator-powered solutions at NVIDIA GTC,TER.O,TER,"Teradyne, Inc.","Teradyne, Inc.: BRIEF-Teradyne Robotics to debut AI accelerator-powered solutions at NVIDIA GTC"
2025-08-07 20:11:50.123,INSTACART Q2 NET INCOME USD 116 MILLION,CART.O,CART,Maplebear Inc.,Maplebear Inc.: INSTACART Q2 NET INCOME USD 116 MILLION
2025-11-21 11:19:32.190,HP INC <HPQ.N>: BOFA GLOBAL RESEARCH CUTS PRICE OBJECTIVE TO $26 FROM $29,HPQ.N,HPQ,HP Inc.,HP Inc.: HP INC <HPQ.N>: BOFA GLOBAL RESEARCH CUTS PRICE OBJECTIVE TO $26 FROM $29
2025-10-10 12:12:38.000,ORACLE SHARES UP 2.3% PREMARKET AFTER CITIGROUP RAISES PT TO STREET HIGH OF $415,ORCL.N,ORCL,Oracle Corporation,Oracle Corporation: ORACLE SHARES UP 2.3% PREMARKET AFTER CITIGROUP RAISES PT TO STREET HIGH OF $415
2025-06-27 06:26:08.000,European media group RTL to buy Sky Deutschland,CMCSA.O,CMCSA,Comcast Corporation,Comcast Corporation: European media group RTL to buy Sky Deutschland
2024-11-10 00:31:20.000,"EXCLUSIVE-US ordered TSMC to halt shipments to China of chips used in AI applications, source says",LRCX.O,LRCX,Lam Research Corporation,"Lam Research Corporation: EXCLUSIVE-US ordered TSMC to halt shipments to China of chips used in AI applications, source says"
2025-09-11 13:00:18.594,F5 INC - TO BUY CALYPSOAI FOR $180 MLN,FFIV.O,FFIV,"F5, Inc.","F5, Inc.: F5 INC - TO BUY CALYPSOAI FOR $180 MLN"
2025-04-28 03:41:43.947,PROCORE TECHNOLOGIES INC <PCOR.N>: TD COWEN CUTS TARGET PRICE TO $75 FROM $85,PCOR.N,PCOR,"Procore Technologies, Inc.","Procore Technologies, Inc.: PROCORE TECHNOLOGIES INC <PCOR.N>: TD COWEN CUTS TARGET PRICE TO $75 FROM $85"
2025-08-12 22:23:36.000,"EXCLUSIVE-GOLDEN DOME INCLUDES 4 LAYERS - 1 SPACE-BASED LAYER AND 3 LAND-BASED LAYERS, DOCUMENTS SHOW",PLTR.O,PLTR,Palantir Technologies Inc.,"Palantir Technologies Inc.: EXCLUSIVE-GOLDEN DOME INCLUDES 4 LAYERS - 1 SPACE-BASED LAYER AND 3 LAND-BASED LAYERS, DOCUMENTS SHOW"
2025-05-08 01:28:25.000,BRIEF-Goto Gojek Tokopedia Says Has Not Made Any Decision Regarding Any Proposals,GRAB.O,GRAB,Grab Holdings Limited,Grab Holdings Limited: BRIEF-Goto Gojek Tokopedia Says Has Not Made Any Decision Regarding Any Proposals
2024-12-07 00:59:47.000,UPDATE 3-TikTok advertisers stay put after US appeals court upholds law forcing sale,SNAP.N,SNAP,Snap Inc.,Snap Inc.: UPDATE 3-TikTok advertisers stay put after US appeals court upholds law forcing sale
2024-10-15 14:59:37.131,ASML HOLDING NV - EXPECTS 2025  GROSS MARGIN BETWEEN 51% AND 53%,ASML.O,ASML,ASML Holding N.V. - New York Re,ASML Holding N.V. - New York Re: ASML HOLDING NV - EXPECTS 2025  GROSS MARGIN BETWEEN 51% AND 53%
2025-11-03 14:22:42.000,"BUZZ-U.S. STOCKS ON THE MOVE-Vertiv, IDEXX, Freshpet",TOST.N,TOST,"Toast, Inc.","Toast, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Vertiv, IDEXX, Freshpet"
2025-02-20 11:37:05.166,"TOAST, INC. <TOST.N>: MORGAN STANLEY  RAISES TARGET PRICE TO $50.00 FROM $46.00",TOST.N,TOST,"Toast, Inc.","Toast, Inc.: TOAST, INC. <TOST.N>: MORGAN STANLEY  RAISES TARGET PRICE TO $50.00 FROM $46.00"
2025-11-11 12:19:58.535,TOWER SEMICONDUCTOR LTD <TSEM.O>: WEDBUSH RAISES TARGET PRICE TO $125 FROM $85,TSEM.O,TSEM,Tower Semiconductor Ltd.,Tower Semiconductor Ltd.: TOWER SEMICONDUCTOR LTD <TSEM.O>: WEDBUSH RAISES TARGET PRICE TO $125 FROM $85
2025-02-13 20:50:07.569,NYSE ORDER IMBALANCE <ALLE.N> 52394.0 SHARES ON BUY SIDE,ALLE.N,ALLE,Allegion plc,Allegion plc: NYSE ORDER IMBALANCE <ALLE.N> 52394.0 SHARES ON BUY SIDE
2024-10-24 03:18:34.000,Celestica Inc reports results for the quarter ended in September 30 - Earnings Summary,CLS.N,CLS,"Celestica, Inc.","Celestica, Inc.: Celestica Inc reports results for the quarter ended in September 30 - Earnings Summary"
2025-03-13 20:18:04.000,RUBRIK SHARES UP 10% AFTER THE BELL FOLLOWING RESULTS,RBRK.N,RBRK,"Rubrik, Inc.","Rubrik, Inc.: RUBRIK SHARES UP 10% AFTER THE BELL FOLLOWING RESULTS"
2024-12-19 11:41:58.212,OKTA INC <OKTA.O>: KEYBANC RAISES TO OVERWEIGHT FROM SECTOR WEIGHT,OKTA.O,OKTA,"Okta, Inc.","Okta, Inc.: OKTA INC <OKTA.O>: KEYBANC RAISES TO OVERWEIGHT FROM SECTOR WEIGHT"
2025-05-22 17:53:55.765,Newscasts - Universal takes on Disney with its new Epic Universe park,CMCSA.O,CMCSA,Comcast Corporation,Comcast Corporation: Newscasts - Universal takes on Disney with its new Epic Universe park
2025-11-24 21:35:45.000,Zoom Communications lifts annual outlook on accelerated demand for AI tools in hybrid work,ZM.O,ZM,"Zoom Communications, Inc.","Zoom Communications, Inc.: Zoom Communications lifts annual outlook on accelerated demand for AI tools in hybrid work"
